Cluster	RA	DEC	l	b	Rsun	ERsun	R_GC	<RV>	ERV	mualpha	Emualpha	mu_delta	Emu_delta	rhopmrade	X	DX	Y	DY	Z	DZ	U	DU	V	DV	W	DW	RPERI	ERPERI	RAPO	ERAPO
	Name	[kpc]	[kpc]	[km/s]	[km/s]	[mas/yr]	[mas/yr]	[kpc]	[kpc]	[kpc]	[kpc]	[kpc]	[kpc]	[km/s]	[km/s]	[km/s]	[km/s]	[km/s]	[km/s]	[kpc]	[kpc]
AM_4	209.089066	-27.165171	320.283	33.510	29.01	0.94	24.58	151.19	2.85	-0.290	0.413	-2.494	0.352	-0.40	-10.43	0.60	-15.46	0.50	16.02	0.52	-152.33	43.23	-47.57	45.35	-172.30	40.95	25.17	0.75	102.17	156.33
NGC_5466	211.363709	28.534445	42.150	73.592	16.12	0.16	16.48	106.82	0.20	-5.343	0.025	-0.823	0.024	0.01	4.80	0.03	3.05	0.03	15.45	0.15	217.45	1.83	-34.37	1.82	225.14	0.56	6.13	0.23	47.55	1.41
NGC_5634	217.405335	-5.976430	342.210	49.260	25.96	0.62	21.84	-16.07	0.60	-1.692	0.027	-1.478	0.026	0.00	-7.95	0.39	-5.18	0.12	19.67	0.47	59.77	2.62	-13.45	3.20	-25.76	2.18	3.11	0.30	22.19	0.60
NGC_5694	219.901245	-26.538776	331.056	30.360	34.84	0.74	29.16	-139.55	0.49	-0.463	0.030	-1.103	0.029	-0.06	-18.13	0.56	-14.55	0.31	17.61	0.37	112.98	3.21	146.07	4.40	-171.20	4.18	29.27	0.79	59.74	1.69
IC_4499	225.077188	-82.213792	307.354	-20.473	18.89	0.25	15.75	38.41	0.31	0.466	0.025	-0.489	0.025	0.00	-2.56	0.14	-14.07	0.19	-6.61	0.09	-31.42	1.89	248.39	1.53	-61.34	2.13	6.74	0.22	28.78	0.61
NGC_5824	225.994156	-33.068138	332.555	22.071	31.71	0.60	25.42	-25.24	0.52	-1.190	0.026	-2.233	0.026	-0.01	-17.90	0.49	-13.55	0.26	11.92	0.23	97.09	2.27	-61.75	3.52	-180.05	3.61	13.78	1.08	34.78	1.43
Pal_5	229.019167	-0.121000	0.839	45.856	21.94	0.51	17.27	-58.61	0.15	-2.730	0.028	-2.654	0.027	-0.00	-7.10	0.36	0.22	0.01	15.74	0.37	47.46	2.06	-143.34	2.86	-11.98	2.00	8.73	0.00	17.55	0.00
NGC_5897	229.351659	-21.010122	342.946	30.294	12.55	0.24	7.41	101.31	0.22	-5.421	0.025	-3.392	0.025	-0.00	-2.18	0.19	-3.18	0.06	6.33	0.12	34.73	0.87	-129.64	1.45	91.38	1.30	2.49	0.24	8.87	0.32
NGC_5904	229.638412	2.081028	3.859	46.796	7.48	0.06	6.27	53.50	0.25	4.085	0.023	-9.869	0.023	0.00	3.07	0.04	0.34	0.00	5.45	0.05	-301.71	0.62	89.94	0.81	-181.41	0.58	3.25	0.03	23.50	0.57
NGC_5927	232.002869	-50.673031	326.604	4.860	8.27	0.11	4.77	-104.09	0.28	-5.056	0.025	-3.216	0.025	-0.00	1.30	0.09	-4.54	0.06	0.70	0.01	205.27	0.59	113.65	0.83	6.02	0.97	4.03	0.02	5.46	0.07
NGC_5946	233.869051	-50.659713	327.583	4.191	9.64	0.51	5.20	137.60	0.94	-5.330	0.028	-1.658	0.028	-0.00	0.06	0.43	-5.16	0.27	0.70	0.04	7.74	1.05	-22.34	1.18	98.33	1.26	0.50	0.16	5.12	0.38
NGC_5986	236.512497	-37.786415	337.022	13.268	10.54	0.13	4.85	101.18	0.43	-4.194	0.026	-4.566	0.026	-0.01	-1.27	0.12	-4.00	0.05	2.42	0.03	8.45	0.69	-72.43	1.20	-13.05	1.26	0.53	0.08	5.03	0.08
FSR_1716	242.625000	-53.748889	329.778	-1.593	7.43	0.27	4.14	-30.70	0.98	-4.353	0.033	-8.832	0.031	-0.01	1.76	0.23	-3.74	0.13	-0.21	0.01	181.45	1.02	-10.50	1.09	-115.82	1.14	2.36	0.10	4.88	0.12
Pal_14	242.752500	14.957778	28.746	42.192	73.58	1.63	68.55	72.30	0.14	-0.463	0.038	-0.413	0.038	0.12	-39.62	1.06	26.22	0.58	49.42	1.09	-98.49	10.10	76.52	12.42	123.61	9.88	9.69	0.00	500.00	0.00
