Cluster	RA	DEC	l	b	Rsun	ERsun	R_GC	<RV>	ERV	mualpha	Emualpha	mu_delta	Emu_delta	rhopmrade	X	DX	Y	DY	Z	DZ	U	DU	V	DV	W	DW	RPERI	ERPERI	RAPO	ERAPO
	Name	[kpc]	[kpc]	[km/s]	[km/s]	[mas/yr]	[mas/yr]	[kpc]	[kpc]	[kpc]	[kpc]	[kpc]	[kpc]	[km/s]	[km/s]	[km/s]	[km/s]	[km/s]	[km/s]	[kpc]	[kpc]
NGC_6440	267.220167	-20.360417	7.729	3.801	8.25	0.24	1.23	-69.39	0.93	-1.186	0.036	-4.020	0.035	0.01	0.03	0.26	1.11	0.04	0.55	0.02	33.50	0.94	86.07	1.36	-37.89	1.40	0.21	0.07	1.27	0.07
NGC_6441	267.554413	-37.051445	353.532	-5.006	12.73	0.16	4.78	18.47	0.56	-2.551	0.028	-5.348	0.028	0.02	-4.42	0.16	-1.43	0.02	-1.11	0.01	13.44	0.60	-103.46	1.70	-25.32	1.68	1.59	0.14	4.71	0.17
Ter_6	267.693250	-31.275389	358.571	-2.162	7.27	0.35	0.97	136.45	1.50	-4.980	0.048	-7.433	0.038	0.14	0.91	0.35	-0.18	0.01	-0.27	0.01	-140.36	1.50	-59.04	1.42	18.73	1.57	0.20	0.03	1.14	0.36
NGC_6453	267.715508	-34.598477	355.718	-3.872	10.07	0.22	2.10	-99.23	1.24	0.203	0.036	-5.934	0.037	-0.03	-1.84	0.22	-0.75	0.02	-0.68	0.01	115.73	1.24	22.09	1.75	-138.10	1.74	0.47	0.13	2.56	0.19
UKS_1	268.613312	-24.145277	5.125	0.764	15.58	0.56	7.47	59.38	2.63	-2.032	0.105	-2.759	0.066	-0.04	-7.34	0.56	1.39	0.05	0.21	0.01	-92.38	2.67	6.79	5.73	34.45	7.14	0.40	0.13	7.82	0.72
VVV-CL001	268.677083	-24.014722	5.267	0.780	8.08	1.48	0.76	-327.28	0.90	-3.471	0.143	-1.640	0.108	0.24	0.13	1.48	0.74	0.14	0.11	0.02	304.75	0.98	101.18	4.45	85.81	5.16	0.75	0.33	3.62	1.78
NGC_6496	269.765350	-44.265945	348.027	-10.014	9.64	0.15	2.81	-134.72	0.26	-3.061	0.027	-9.271	0.026	0.01	-1.11	0.15	-1.97	0.03	-1.68	0.03	223.08	0.41	-147.22	1.17	-46.05	1.19	2.63	0.12	4.62	0.29
Ter_9	270.411667	-26.839722	3.603	-1.989	5.77	0.34	2.46	68.49	0.56	-2.128	0.052	-7.764	0.048	0.04	2.42	0.34	0.36	0.02	-0.20	0.01	-90.95	0.57	43.40	1.34	-49.35	1.41	0.36	0.08	2.52	0.42
Djor_2	270.454378	-27.825819	2.763	-2.508	8.76	0.18	0.80	-149.75	1.10	0.670	0.036	-2.986	0.033	0.02	-0.57	0.18	0.42	0.01	-0.38	0.01	137.52	1.10	150.73	1.40	-71.50	1.47	0.62	0.15	0.84	0.12
NGC_6517	270.460750	-8.958778	19.225	6.762	9.23	0.56	3.24	-35.06	1.65	-1.552	0.029	-4.471	0.028	0.03	-0.47	0.52	3.02	0.18	1.09	0.07	-49.31	1.60	49.51	1.30	-31.76	1.26	0.42	0.05	3.39	0.24
Ter_10	270.740833	-26.066944	4.421	-1.864	10.21	0.40	2.17	211.37	2.27	-6.819	0.058	-2.584	0.052	0.09	-2.00	0.40	0.79	0.03	-0.33	0.01	-249.97	2.26	-1.43	2.59	226.09	2.77	1.03	0.23	5.44	0.93
NGC_6522	270.891977	-30.033974	1.025	-3.926	7.29	0.21	1.04	-15.23	0.49	2.562	0.038	-6.435	0.035	-0.01	0.90	0.21	0.13	0.00	-0.50	0.01	14.12	0.50	100.81	1.25	-177.24	1.30	0.45	0.12	1.31	0.14
NGC_6535	270.960449	-0.297639	27.176	10.436	6.36	0.12	4.04	-214.85	0.46	-4.214	0.027	-2.938	0.027	0.02	2.61	0.11	2.86	0.06	1.15	0.02	125.55	0.56	27.46	0.75	38.54	0.80	0.96	0.05	4.52	0.05
NGC_6528	271.206697	-30.055778	1.139	-4.174	7.83	0.24	0.70	211.86	0.43	-2.159	0.040	-5.651	0.039	-0.04	0.37	0.24	0.16	0.00	-0.57	0.02	-224.45	0.45	34.20	1.46	-39.99	1.49	0.43	0.08	0.92	0.29
NGC_6539	271.207276	-7.585858	20.795	6.776	8.16	0.39	3.09	35.19	0.50	-6.896	0.026	-3.537	0.026	0.02	0.60	0.36	2.88	0.14	0.96	0.05	-113.23	0.60	25.68	0.97	178.93	1.02	2.13	0.15	3.42	0.16
NGC_6540	271.535657	-27.765286	3.285	-3.313	5.91	0.27	2.34	-16.50	0.78	-3.701	0.034	-2.795	0.034	-0.04	2.29	0.27	0.34	0.02	-0.34	0.02	-4.50	0.78	132.87	0.95	60.71	0.95	1.07	0.16	2.33	0.27
NGC_6544	271.833833	-24.998222	5.837	-2.202	2.58	0.06	5.62	-38.46	0.67	-2.303	0.031	-18.604	0.030	0.01	5.61	0.06	0.26	0.01	-0.10	0.00	8.78	0.67	36.34	0.38	-77.13	0.38	0.55	0.06	5.53	0.12
NGC_6541	272.009827	-43.714889	349.286	-11.188	7.61	0.10	2.19	-163.97	0.46	0.288	0.025	-8.847	0.025	-0.03	0.84	0.10	-1.39	0.02	-1.48	0.02	228.32	0.50	12.94	0.88	-112.14	0.88	1.55	0.04	3.59	0.02
2MASS-GC01	272.090851	-19.829723	10.471	0.100	3.37	0.62	4.90	-31.28	0.50	-1.121	0.296	-1.881	0.235	0.28	4.86	0.61	0.61	0.11	0.01	0.00	13.30	0.87	212.15	3.92	8.27	4.50	3.67	0.59	5.11	0.55
ESO_280-SC06	272.275000	-46.423333	346.899	-12.571	20.95	0.65	13.41	93.20	0.34	-0.689	0.039	-2.777	0.033	0.09	-11.73	0.61	-4.63	0.14	-4.56	0.14	-23.87	1.08	-35.64	3.35	-72.54	3.68	1.58	0.33	13.91	0.65
NGC_6553	272.315322	-25.907750	5.250	-3.023	5.43	0.14	2.83	-0.27	0.34	0.347	0.029	-0.454	0.029	-0.00	2.78	0.14	0.50	0.01	-0.29	0.01	-10.67	0.35	246.24	0.76	-6.18	0.76	2.70	0.15	3.51	0.12
2MASS-GC02	272.402100	-20.778889	9.782	-0.615	5.50	0.44	2.91	-237.75	10.10	-1.457	0.064	-3.100	0.052	0.52	2.76	0.43	0.93	0.07	-0.06	0.00	208.09	9.86	123.95	2.21	3.95	1.59	0.37	0.11	4.78	0.78
NGC_6558	272.573974	-31.764508	0.199	-6.023	7.47	0.29	1.08	-195.12	0.73	-1.721	0.036	-4.145	0.034	0.05	0.75	0.29	0.03	0.00	-0.78	0.03	184.06	0.74	93.35	1.22	11.89	1.26	0.51	0.04	1.41	0.33
IC_1276	272.684441	-7.207595	21.832	5.668	4.55	0.25	4.34	155.06	0.69	-2.554	0.026	-4.569	0.026	-0.01	3.97	0.23	1.69	0.09	0.45	0.02	-196.19	0.67	204.69	0.58	24.29	0.56	3.69	0.09	6.91	0.41
Ter_12	273.065833	-22.741944	8.358	-2.101	5.17	0.38	3.17	95.61	1.21	-6.221	0.037	-3.052	0.034	0.13	3.07	0.38	0.75	0.06	-0.19	0.01	-129.33	1.20	129.50	0.85	101.57	0.88	1.81	0.20	3.74	0.41
NGC_6569	273.411667	-31.826889	0.481	-6.681	10.53	0.26	2.59	-49.83	0.50	-4.125	0.028	-7.354	0.028	0.02	-2.28	0.26	0.09	0.00	-1.23	0.03	33.65	0.52	-169.06	1.40	23.32	1.38	1.70	0.32	2.71	0.27
BH_261	273.527500	-28.635000	3.362	-5.270	6.12	0.26	2.20	-58.00	3.20	3.563	0.043	-3.591	0.038	0.08	2.10	0.26	0.36	0.02	-0.56	0.02	56.88	3.18	205.04	1.14	-127.00	1.26	1.46	0.22	3.28	0.27
NGC_6584	274.656647	-52.215778	342.143	-16.414	13.61	0.17	6.99	260.64	1.58	-0.090	0.026	-7.203	0.026	-0.00	-4.25	0.16	-4.00	0.05	-3.85	0.05	-69.45	1.60	-217.37	1.64	-237.77	1.64	2.24	0.22	19.72	1.06
Mercer_5	275.832500	-13.668611	17.594	-0.112	5.50	0.50	3.37	185.50	3.75	-3.960	0.115	-7.238	0.112	0.31	2.94	0.48	1.66	0.15	-0.01	0.00	-252.94	3.69	103.28	3.03	9.61	3.02	6.29	0.03	25.35	0.72
NGC_6624	275.918793	-30.361029	2.788	-7.913	8.02	0.11	1.20	54.79	0.40	0.124	0.029	-6.936	0.029	-0.00	0.24	0.11	0.39	0.01	-1.10	0.01	-59.67	0.43	21.27	1.09	-122.52	1.09	0.32	0.02	1.36	0.02
NGC_6626	276.137039	-24.869847	7.798	-5.581	5.37	0.10	3.02	11.11	0.60	-0.277	0.028	-8.919	0.028	-0.02	2.84	0.10	0.73	0.01	-0.53	0.01	-40.56	0.60	47.63	0.72	-92.36	0.73	0.61	0.05	2.93	0.11
NGC_6638	277.733734	-25.497473	7.896	-7.153	9.78	0.34	2.30	8.63	2.00	-2.518	0.029	-4.075	0.029	0.02	-1.43	0.33	1.33	0.05	-1.22	0.04	-52.36	1.98	34.71	1.34	25.43	1.34	0.29	0.09	2.35	0.28
NGC_6637	277.846252	-32.348084	1.723	-10.269	8.90	0.10	1.71	47.48	1.00	-5.033	0.028	-5.832	0.028	0.04	-0.58	0.10	0.26	0.00	-1.59	0.02	-82.31	1.01	-59.60	1.17	82.03	1.15	0.42	0.09	2.01	0.08
NGC_6642	277.975957	-23.475602	9.815	-6.439	8.05	0.20	1.66	-60.61	1.35	-0.172	0.030	-3.892	0.030	0.01	0.30	0.20	1.36	0.03	-0.90	0.02	31.91	1.35	107.30	1.15	-46.71	1.16	0.28	0.08	1.82	0.09
NGC_6652	278.940125	-32.990723	1.534	-11.377	9.46	0.14	2.18	-95.37	0.86	-5.484	0.027	-4.274	0.027	0.01	-1.10	0.14	0.25	0.00	-1.87	0.03	47.01	0.88	-27.39	1.20	164.85	1.20	0.32	0.06	3.11	0.15
NGC_6656	279.099762	-23.904749	9.892	-7.552	3.30	0.04	5.00	-148.72	0.78	9.851	0.023	-5.618	0.023	0.01	4.95	0.04	0.56	0.01	-0.43	0.00	155.33	0.76	212.80	0.38	-148.93	0.37	2.97	0.02	9.59	0.03
Pal_8	280.377290	-19.828858	14.103	-6.801	11.32	0.63	4.09	-31.54	0.21	-1.987	0.027	-5.693	0.027	0.01	-2.72	0.61	2.74	0.15	-1.34	0.07	-54.27	0.44	-67.82	1.42	-29.26	1.43	1.16	0.38	4.13	0.58
NGC_6681	280.803162	-32.292110	2.853	-12.510	9.36	0.11	2.29	216.62	0.84	1.431	0.027	-4.744	0.026	0.01	-0.95	0.10	0.45	0.01	-2.03	0.02	-199.26	0.86	95.78	1.15	-180.91	1.16	0.81	0.04	4.97	0.16
NGC_6712	283.268021	-8.705960	25.354	-4.318	7.38	0.24	3.55	-107.45	0.29	3.362	0.027	-4.436	0.027	0.00	1.53	0.21	3.15	0.10	-0.56	0.02	61.03	0.49	123.48	0.86	-159.19	0.94	0.46	0.09	4.83	0.13
NGC_6715	283.763855	-30.479862	5.607	-14.087	26.28	0.33	18.51	143.13	0.43	-2.679	0.025	-1.387	0.025	0.02	-17.19	0.32	2.49	0.03	-6.40	0.08	-235.26	0.93	-18.49	3.11	202.79	3.06	14.66	0.39	46.30	2.23
NGC_6717	283.775177	-22.701473	12.876	-10.900	7.52	0.13	2.38	30.25	0.90	-3.125	0.027	-5.008	0.027	0.03	0.98	0.13	1.65	0.03	-1.42	0.02	-91.33	0.91	56.18	0.97	26.56	0.98	0.74	0.02	2.53	0.05
NGC_6723	284.888123	-36.632248	0.069	-17.299	8.27	0.10	2.47	-94.39	0.26	1.029	0.025	-2.418	0.025	0.02	0.28	0.09	0.01	0.00	-2.46	0.03	100.35	0.39	178.48	0.99	-33.45	0.95	2.07	0.07	2.82	0.04
NGC_6749	286.314056	1.899756	36.200	-2.205	7.59	0.21	4.94	-58.44	0.96	-2.830	0.028	-6.005	0.028	0.01	2.06	0.17	4.48	0.13	-0.29	0.01	-104.71	0.97	24.91	0.98	1.11	1.00	1.43	0.05	4.95	0.04
NGC_6752	287.717102	-59.984554	336.493	-25.628	4.12	0.04	5.30	-26.01	0.12	-3.161	0.023	-4.028	0.022	0.02	4.77	0.03	-1.48	0.01	-1.78	0.02	27.28	0.27	172.28	0.41	60.50	0.40	3.38	0.03	5.48	0.02
NGC_6760	287.800268	1.030466	36.108	-3.924	8.41	0.43	5.17	-2.37	1.27	-1.106	0.026	-3.616	0.026	0.02	1.40	0.35	4.95	0.25	-0.58	0.03	-95.12	1.19	129.92	1.12	-19.41	1.05	1.85	0.06	5.80	0.18
NGC_6779	289.148193	30.183472	62.659	8.336	10.43	0.14	9.91	-136.97	0.45	-2.018	0.025	1.618	0.026	-0.00	3.44	0.06	9.17	0.13	1.51	0.02	83.29	1.15	128.07	0.72	111.11	1.23	1.30	0.09	13.12	0.16
Ter_7	289.432983	-34.657722	3.387	-20.067	24.28	0.49	16.85	159.85	0.14	-3.002	0.029	-1.652	0.029	0.05	-14.59	0.46	1.35	0.03	-8.33	0.17	-267.85	1.16	-28.70	3.28	197.57	3.13	14.61	0.55	51.27	4.40
Pal_10	289.506933	18.578994	52.442	2.730	8.94	1.18	7.60	-31.70	0.23	-4.322	0.028	-7.173	0.029	0.02	2.73	0.72	7.08	0.94	0.43	0.06	-272.21	0.98	10.28	0.77	26.30	1.20	6.45	1.08	12.73	4.95
Arp_2	292.183807	-30.355639	8.545	-20.785	28.73	0.34	21.39	122.64	0.29	-2.331	0.031	-1.475	0.029	0.05	-18.38	0.32	3.99	0.05	-10.19	0.12	-249.14	1.64	-12.89	3.98	178.05	3.95	17.85	0.40	52.11	2.45
NGC_6809	294.998779	-30.964750	8.793	-23.272	5.35	0.05	4.01	174.70	0.17	-3.432	0.024	-9.311	0.024	-0.01	3.32	0.05	0.75	0.01	-2.11	0.02	-210.75	0.30	28.63	0.60	-55.64	0.56	1.60	0.01	5.62	0.04
Ter_8	295.435028	-33.999474	5.759	-24.559	27.54	0.42	20.43	148.43	0.17	-2.496	0.027	-1.581	0.026	-0.02	-16.74	0.38	2.51	0.04	-11.44	0.17	-278.27	1.49	-15.99	3.38	172.93	3.17	17.66	0.50	90.68	112.35
Pal_11	296.310000	-8.007222	31.805	-15.576	14.02	0.51	8.70	-67.64	0.76	-1.767	0.030	-4.971	0.028	0.03	-3.30	0.42	7.12	0.26	-3.77	0.14	-130.39	1.28	-83.85	1.67	-12.61	1.92	4.58	0.67	8.73	0.43
Sagittarius_II	298.164708	-22.065251	18.937	-22.893	66.53	1.56	59.54	-175.73	0.37	-0.804	0.044	-0.882	0.028	-0.29	-49.66	1.39	19.84	0.48	-25.82	0.62	-21.38	6.53	-114.60	8.79	200.09	12.16	59.44	1.66	273.73	206.77
NGC_6838	298.443726	18.779194	56.746	-4.564	4.00	0.05	6.86	-22.72	0.20	-3.416	0.024	-2.655	0.025	-0.00	5.99	0.03	3.34	0.04	-0.32	0.00	-63.85	0.40	193.43	0.30	38.99	0.46	4.81	0.02	7.12	0.01
NGC_6864	301.519784	-21.921164	20.304	-25.747	20.52	0.45	14.30	-189.08	1.12	-0.597	0.026	-2.810	0.026	0.02	-9.15	0.38	6.41	0.14	-8.91	0.20	69.76	1.67	-72.25	2.42	51.81	2.36	1.17	0.23	16.16	0.58
NGC_6934	308.547394	7.404472	52.103	-18.893	15.72	0.17	12.83	-406.22	0.73	-2.655	0.026	-4.689	0.026	0.02	-0.96	0.10	11.73	0.13	-5.09	0.06	-88.00	1.63	-301.89	1.40	122.11	1.85	3.95	2.88	42.26	1.67
NGC_6981	313.365417	-12.537306	35.162	-32.683	16.66	0.18	12.53	-331.39	1.47	-1.273	0.026	-3.361	0.026	0.01	-3.29	0.13	8.08	0.09	-9.00	0.10	61.65	1.79	-145.54	1.91	171.18	1.90	0.71	0.05	22.11	0.42
NGC_7006	315.372626	16.187323	63.770	-19.407	39.32	0.56	36.67	-383.47	0.73	-0.128	0.027	-0.633	0.027	-0.01	-8.21	0.23	33.27	0.47	-13.06	0.19	59.30	4.60	-135.76	2.74	85.06	4.84	2.07	0.41	50.73	0.83
Lae_3	316.729380	14.984400	63.598	-21.176	61.77	1.65	58.85	-70.30	0.82	0.171	0.101	-0.660	0.078	-0.01	-17.43	0.68	51.59	1.38	-22.31	0.60	-66.64	24.24	87.96	12.59	-114.22	25.33	11.73	4.62	500.00	0.00
NGC_7078	322.493042	12.167001	65.013	-27.313	10.71	0.10	10.76	-106.84	0.30	-0.659	0.024	-3.802	0.024	-0.00	4.16	0.04	8.62	0.08	-4.91	0.04	-106.45	1.14	53.96	0.76	-29.92	1.08	3.91	0.07	10.76	0.07
NGC_7089	323.362579	-0.823250	53.371	-35.770	11.69	0.11	10.54	-3.78	0.30	3.435	0.025	-2.160	0.025	-0.00	2.52	0.06	7.61	0.07	-6.83	0.07	73.31	1.21	147.41	1.05	-172.97	1.13	0.87	0.07	18.74	0.27
NGC_7099	325.092133	-23.179861	27.179	-46.835	8.46	0.09	7.36	-185.19	0.17	-0.737	0.025	-7.299	0.025	0.02	3.03	0.05	2.64	0.03	-6.17	0.06	1.72	0.79	-80.16	0.94	108.05	0.69	1.51	0.02	8.56	0.09
Pal_12	326.661804	-21.252611	30.510	-47.682	18.49	0.30	15.28	27.91	0.28	-3.220	0.029	-3.334	0.028	0.08	-2.55	0.17	6.32	0.10	-13.67	0.22	-327.58	2.07	16.93	2.31	108.99	1.72	15.29	0.26	51.03	3.64
Pal_13	346.685190	12.771539	87.103	-42.700	23.48	0.40	24.57	25.30	0.22	1.749	0.049	0.102	0.047	0.01	7.31	0.01	17.23	0.29	-15.92	0.27	161.59	5.35	215.52	3.59	-79.26	3.90	6.82	0.41	57.95	1.92
NGC_7492	347.111170	-15.611469	53.386	-63.478	24.39	0.57	23.57	-176.70	0.27	0.756	0.028	-2.320	0.027	0.02	1.68	0.15	8.74	0.21	-21.82	0.51	-3.36	3.09	-74.29	2.98	71.62	1.46	2.72	0.39	26.01	0.61
